49,CHN,China,1,Anhui,1,Anqing,Dìjíshì,Prefecture City,安庆市,Ānqìng
49,CHN,China,1,Anhui,2,Bengbu,Dìjíshì,Prefecture City,蚌埠市,Bèngbù
49,CHN,China,1,Anhui,3,Bozhou,Dìjíshì,Prefecture City,亳州市,Bózhōu
49,CHN,China,1,Anhui,4,Chaohu,Dìjíshì,Prefecture City,巢湖市,Cháohú
49,CHN,China,1,Anhui,5,Chizhou,Dìjíshì,Prefecture City,池州市,Chízhōu
49,CHN,China,1,Anhui,6,Chuzhou,Dìjíshì,Prefecture City,滁州市,Chúzhōu
49,CHN,China,1,Anhui,7,Fuyang,Dìjíshì,Prefecture City,阜阳市,Fùyáng
49,CHN,China,1,Anhui,8,Hefei,Dìjíshì,Prefecture City,合肥市,Héféi
49,CHN,China,1,Anhui,9,Huaibei,Dìjíshì,Prefecture City,淮北市,Huáiběi
49,CHN,China,1,Anhui,10,Huainan,Dìjíshì,Prefecture City,淮南市,Huáinán
49,CHN,China,1,Anhui,11,Huangshan,Dìjíshì,Prefecture City,黄山市,Huángshān
49,CHN,China,1,Anhui,12,Lu'an,Dìjíshì,Prefecture City,六安市,Lù'ān
49,CHN,China,1,Anhui,13,Ma'anshan,Dìjíshì,Prefecture City,马鞍山市,Mǎ'ānshān
49,CHN,China,1,Anhui,14,Suzhou,Dìjíshì,Prefecture City,宿州市,Sùzhōu
49,CHN,China,1,Anhui,15,Tongling,Dìjíshì,Prefecture City,铜陵市,Tónglíng
49,CHN,China,1,Anhui,16,Wuhu,Dìjíshì,Prefecture City,芜湖市,Wúhú
49,CHN,China,1,Anhui,17,Xuancheng,Dìjíshì,Prefecture City,宣城市,Xuānchéng
49,CHN,China,2,Beijing,18,Beijing,Zhíxiáshì,Municipality,北京|北京,Běijīng
49,CHN,China,3,Chongqing,19,Chongqing,Zhíxiáshì,Municipality,重慶|重庆,Chóngqìng
49,CHN,China,4,Fujian,20,Fuzhou,Dìjíshì,Prefecture City,福州市,Fúzhōu
49,CHN,China,4,Fujian,21,Longyan,Dìjíshì,Prefecture City,龙岩市,Lóngyán
49,CHN,China,4,Fujian,22,Nanping,Dìjíshì,Prefecture City,南平市,Nánpíng
49,CHN,China,4,Fujian,23,Ningde,Dìjíshì,Prefecture City,宁德市,Níngdé
49,CHN,China,4,Fujian,24,Putian,Dìjíshì,Prefecture City,莆田市,Pútián
49,CHN,China,4,Fujian,25,Quanzhou,Dìjíshì,Prefecture City,泉州市,Quánzhōu
49,CHN,China,4,Fujian,26,Sanming,Dìjíshì,Prefecture City,三明市,Sānmíng
49,CHN,China,4,Fujian,27,Xiamen,Dìjíshì,Prefecture City,厦门市,Xiàmén
49,CHN,China,4,Fujian,28,Zhangzhou,Dìjíshì,Prefecture City,漳州市,Zhāngzhōu
49,CHN,China,5,Gansu,29,Baiyin,Dìjíshì,Prefecture City,白银市,Báiyín
49,CHN,China,5,Gansu,30,Dingxi,Dìjíshì,Prefecture City,定西市,Dìngxī
49,CHN,China,5,Gansu,31,Gannan Tibetan,Zìzhìzhou,Autonomous Prefecture,甘南藏族自治州,Gānnán Zàngzú
49,CHN,China,5,Gansu,32,Jiayuguan,Dìjíshì,Prefecture City,嘉峪关市,Jiāyùguān
49,CHN,China,5,Gansu,33,Jinchang,Dìjíshì,Prefecture City,金昌市,Jīnchāng
