49,CHN,China,1,Anhui,Shěng,Province,安徽|安徽,Ānhuī
49,CHN,China,2,Beijing,Zhíxiáshì,Municipality,北京|北京,Běijīng
49,CHN,China,3,Chongqing,Zhíxiáshì,Municipality,重慶|重庆,Chóngqìng
49,CHN,China,4,Fujian,Shěng,Province,福建,Fújiàn
49,CHN,China,5,Gansu,Shěng,Province,甘肅|甘肃,Gānsù
49,CHN,China,6,Guangdong,Shěng,Province,廣東|广东,Guǎngdōng
49,CHN,China,7,Guangxi,Zìzhìqu,Autonomous Region,廣西壯族自治區|广西壮族自治区,Guǎngxī Zhuàngzú
49,CHN,China,8,Guizhou,Shěng,Province,貴州|贵州,Gùizhōu
49,CHN,China,9,Hainan,Shěng,Province,海南,Hǎinán
49,CHN,China,10,Hebei,Shěng,Province,河北,Héběi
49,CHN,China,11,Heilongjiang,Shěng,Province,黑龙江省|黑龍江省,Hēilóngjiāng
49,CHN,China,12,Henan,Shěng,Province,河南,Hénán
49,CHN,China,13,Hubei,Shěng,Province,湖北,Húběi
49,CHN,China,14,Hunan,Shěng,Province,湖南,Húnán
49,CHN,China,15,Jiangsu,Shěng,Province,江蘇|江苏,Jiāngsū
49,CHN,China,16,Jiangxi,Shěng,Province,江西,Jiāngxī
49,CHN,China,17,Jilin,Shěng,Province,吉林,Jílín
49,CHN,China,18,Liaoning,Shěng,Province,遼寧|辽宁,Liáoníng
49,CHN,China,19,Nei Mongol,Zìzhìqu,Autonomous Region,內蒙古自治區|内蒙古自治区,Inner Mongol|Nèiměnggǔ
49,CHN,China,20,Ningxia Hui,Zìzhìqu,Autonomous Region,寧夏回族自治區|宁夏回族自治区,Níngxià Húizú
49,CHN,China,21,Qinghai,Shěng,Province,青海,Qīnghǎi
49,CHN,China,22,Shaanxi,Shěng,Province,陝西|陕西,Shǎnxī
49,CHN,China,23,Shandong,Shěng,Province,山東|山东,Shāndōng
49,CHN,China,24,Shanghai,Zhíxiáshì,Municipality,上海|上海,Shànghǎi
49,CHN,China,25,Shanxi,Shěng,Province,山西,Shānxī
49,CHN,China,26,Sichuan,Shěng,Province,四川,Sìchuān
49,CHN,China,27,Tianjin,Zhíxiáshì,Municipality,天津|天津,Tiānjīn
49,CHN,China,28,Xinjiang Uygur,Zìzhìqu,Autonomous Region,新疆維吾爾自治區|新疆维吾尔自治区,Xīnjiāng Wéiwúěr
49,CHN,China,29,Xizang,Zìzhìqu,Autonomous Region,西藏自治區|西藏自治区,Tibet|Xīzàng
49,CHN,China,30,Yunnan,Shěng,Province,雲南|云南,Yúnnán
49,CHN,China,31,Zhejiang,Shěng,Province,浙江,Zhèjiāng
